Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2019-06-23 21:31:26.295 -0500,"Success",0:00:16,0,0,0,"20190623_213126.295/LogFile.txt","","",1
2019-07-07 14:03:56 -0500,"Failure",0:00:12,2,0,1,"20190707_190356.139/LogFile.txt","","Script Error -- Number of Errors logged: 2",0
2019-07-07 14:04:22 -0500,"Aborted",0:00:05,1,0,0,"20190707_190422.724/LogFile.txt","","",0
2019-07-07 14:05:21 -0500,"Failure",0:00:13,2,0,1,"20190707_190521.942/LogFile.txt","","Script Error -- Number of Errors logged: 2",0
2019-07-07 14:08:25 -0500,"Aborted",0:00:07,1,0,0,"20190707_190825.717/LogFile.txt","","",0
2019-07-07 14:11:55 -0500,"Aborted",0:00:06,1,0,0,"20190707_191155.491/LogFile.txt","","",0
2019-07-07 14:12:37 -0500,"Aborted",0:00:05,1,0,0,"20190707_191237.545/LogFile.txt","","",0
2019-07-07 14:16:50 -0500,"Failure",0:00:16,3,0,1,"20190707_191650.269/LogFile.txt","","Unable To Capture Screen -- No connection available from which to capture.",0
2019-07-07 14:17:11 -0500,"Aborted",0:00:02,1,0,0,"20190707_191711.648/LogFile.txt","","",0
2019-07-07 14:17:21 -0500,"Aborted",0:00:25,1,0,0,"20190707_191721.159/LogFile.txt","","",0
2019-07-07 14:17:54 -0500,"Aborted",0:00:17,1,0,0,"20190707_191754.826/LogFile.txt","","",0
2019-07-07 14:18:12 -0500,"Aborted",0:02:04,1,0,0,"20190707_191812.926/LogFile.txt","","",0
2019-07-07 14:24:00 -0500,"Success",0:01:50,0,0,0,"20190707_192400.658/LogFile.txt","","",1
2019-07-07 14:56:26 -0500,"Aborted",0:00:50,1,0,0,"20190707_195626.019/LogFile.txt","","",0
2019-07-07 14:57:30 -0500,"Aborted",0:00:49,1,0,0,"20190707_195730.422/LogFile.txt","","",4
2019-07-07 15:16:45 -0500,"Failure",0:00:27,2,0,0,"20190707_201645.319/LogFile.txt","","Script Error -- Number of Errors logged: 2",1
2019-07-07 15:19:31 -0500,"Success",0:00:27,0,0,0,"20190707_201931.396/LogFile.txt","","",10
2019-07-07 17:30:01 -0500,"Aborted",0:01:57,1,0,0,"20190707_223001.900/LogFile.txt","","",10
2019-07-07 17:36:12 -0500,"Aborted",0:01:21,1,0,0,"20190707_223612.826/LogFile.txt","","",10
2019-07-07 17:39:50 -0500,"Aborted",0:00:03,1,0,0,"20190707_223950.768/LogFile.txt","","",0
2019-07-07 17:45:05 -0500,"Aborted",0:02:04,1,0,0,"20190707_224505.951/LogFile.txt","","",10
